Ambystoma macrodactylum sigillatum
Ambystoma gracile
Dicamptodon tenebrosus
Rhyacotriton variegatus
Taricha torosa
Taricha rivularis
Taricha granulosa
Taricha sierrae
Batrachoseps attenuatus
Aneides vagrans
Plethodon dunni
Plethodon elongatus
Aneides flavipunctatus flavipunctatus
Aneides ferreus
Aneides lugubris
Ensatina eschscholtzii
Ascaphus truei
Spea intermontana
Scaphiopus couchii
Spea hammondii
Anaxyrus boreas
Anaxyrus cognatus
Anaxyrus punctatus
Anaxyrus woodhousii
Incilius alvarius
Eleutherodactylus coqui
Pseudacris cadaverina
Pseudacris regilla
Pseudacris sierra
Rana boylii
Lithobates catesbeianus
Rana cascadae
Rana aurora
Xenopus laevis
Chelydra serpentina
Actinemys marmorata
Chrysemys picta
Trachemys scripta
Eretmochelys imbricata
Lepidochelys olivacea
Caretta caretta
Chelonia mydas
Dermochelys coriacea
Apalone spinifera
Plestiodon skiltonianus
Plestiodon gilberti
Aspidoscelis tigris
Elgaria multicarinata
Elgaria coerulea
Dipsosaurus dorsalis
Sauromalus ater
Gambelia wislizenii
Crotaphytus bicinctores
Phrynosoma douglasii
Phrynosoma platyrhinos
Sceloporus magister
Petrosaurus mearnsi
Urosaurus ornatus
Urosaurus graciosus
Uta stansburiana
Sceloporus occidentalis
Sceloporus orcutti
Uma notata
Callisaurus draconoides
Sceloporus graciosus
Rena humilis
Ramphotyphlops braminus
Charina bottae
Lichanura orcutti
Lampropeltis californiae
Lampropeltis zonata
Rhinocheilus lecontei
Sonora semiannulata
Chionactis occipitalis
Tantilla planiceps
Trimorphodon lambda
Trimorphodon lyrophanes
Coluber taeniatus
Arizona elegans
Tantilla hobartsmithi
Phyllorhynchus decurtatus
Pituophis catenifer
Coluber constrictor
Coluber flagellum
Coluber lateralis
Salvadora hexalepis
Hypsiglena chlorophaea
Hypsiglena ochrorhyncha
Contia tenuis
Contia longicauda
Diadophis punctatus
Thamnophis sirtalis
Thamnophis elegans
Nerodia fasciata
Nerodia sipedon
Thamnophis ordinoides
Thamnophis atratus
Crotalus oreganus
Crotalus cerastes
Crotalus scutulatus
Crotalus mitchellii
Crotalus atrox
