Didelphis virginiana,Virginia Opossum 
Sorex vagrans ,Vagrant Shrew 
Notiosorex crawfordi ,Desert Shrew
Sorex bendirii,Marsh Shrew 
Sorex lyelli,Mt. Lyell Shrew
Sorex merriami ,Merriam's Shrew
Sorex monticolus ,Montane Shrew
Sorex ornatus,Ornate Shrew
Sorex palustris,Water Shrew 
Sorex preblei ,Preble's Shrew
Sorex sonomae ,Fog Shrew
Sorex tenellus,Inyo Shrew
Sorex trowbridgii ,Trowbridge's Shrew
Neurotrichus gibbsii ,Shrew-mole 
Scapanus latimanus ,Broad-footed Mole 
Scapanus orarius ,Coast Mole 
Scapanus townsendii ,Townsend's Mole 
Ochotona princeps ,American Pika 
Sylvilagus nuttallii,Nuttall’s Cottontail 
Lepus americanus ,Snowshoe Hare 
Lepus californicus,Black-tailed Jackrabbit 
Lepus townsendii,White-tailed Jackrabbit 
Oryctolagus cuniculus,European Rabbit 
Sylvilagus audubonii,Audubon’s Cottontail 
Sylvilagus bachmani,Brush Rabbit 
Aplodontia rufa humboldtiana,Humboldt Mountain Beaver
Ammospermophilus leucurus ,White-tailed Antelope Ground Squirrel 
Ammospermophilus nelsoni ,Nelson's Antelope Ground Squirrel
Callospermophilus lateralis ,Golden-mantled Ground Squirrel 
Glaucomys oregonensis ,Humboldt's Flying Squirrel
Glaucomys oregonensis californicus,San Bernardino Flying Squirrel
Marmota flaviventris ,Yellow-bellied Marmot
Ostospermophilus beecheyi ,California Ground Squirrel 
Ostospermophilus variegatus ,Rock Squirrel
Sciurus carolinensis ,Eastern Gray Squirrel 
Sciurus griseus,Western Gray Squirrel
Sciurus niger ,Eastern Fox Squirrel
Neotamias alpinus,Alpine Chipmunk
Tamias amoenus,Yellow-pine Chipmunk 
Tamias merriami ,Merriam's Chipmunk 
Tamias minimus,Least Chipmunk
Tamias obscurus,Chaparral Chipmunk
Tamias ochrogenys ,Redwood Chipmunk 
Tamias panamintinus,Panamint Chipmunk 
Tamias quadrimaculatus ,Long-eared Chipmunk
Tamias senex,Shadow Chipmunk
Tamias siskiyou,Siskiyou Chipmunk
Tamias sonomae,Sonoma Chipmunk
Tamias speciosus,Lodgepole Chipmunk
Tamias umbrinus ,Uinta Chipmunk
Tamiasciurus douglasii,Douglas' Squirrel
Urocitellus beldingi,Belding's Ground Squirrel 
Urocitellus mollis ,Piute Ground Squirrel 
Xerospermophilus mohavensis ,Mohave Ground Squirrel
Xerospermophilus tereticaudus ,Round-tailed Ground Squirrel 
Thomomys bottae ,Botta's Pocket Gopher 
Thomomys mazama ,Mazama Pocket Gopher 
Thomomys monticola ,Mountain Pocket Gopher
Thomomys talpoides,Northern Pocket Gopher  
Thomomys townsendii ,Townsend's Pocket Gopher 
Chaetodipus baileyi,Bailey's Pocket Mouse 
Chaetodipus californicus,California Pocket Mouse
Chaetodipus formosus,Long-tailed Pocket Mouse 
Chaetodipus penicillatus ,Desert Pocket Mouse 
Chaetodipus spinatus,Spiny Pocket Mouse
Microdipodops megacephalus,Dark Kangaroo Mouse
Microdipodops pallidus,Pale Kangaroo Mouse 
Perognathus alticolus,White-eared Pocket Mouse
Perognathus longimembris,Little Pocket Mouse
Perognathus parvus,Great Basin Pocket Mouse
Salinas Pocket Mousse,San Joaquin Pocket Mouse
Castor canadensis ,American Beaver 
Arborimus albipes,White-footed Vole 
Arborimus pomo ,Sonoma Red Tree Vole 
Lemmiscus curtatus,Sagebrush Vole
Microtus californicus,California Vole
Microtus longicaudus,Long-tailed Vole
Microtus montanus,Montane Vole
Microtus oregoni,Creeping Vole
Microtus townsendii,Townsend's Vole
Mus musculus ,House Mouse
Myodes californicus,California Red-backed Vole 
Neotoma albigula,White-throated Woodrat
Neotoma bryanti ,Bryant’s Woodrat 
Neotoma cinerea,Bushy-tailed Woodrat
Neotoma fuscipes,Dusky-footed Woodrat
Neotoma lepida,Desert Woodrat
Neotoma macrotis,Big-eared Woodrat
Ondatra zibethicus,Common Muskrat
Onychomys leucogaster ,Northern Grasshopper Mouse 
Onychomys torridus,Southern Grasshopper Mouse 
Peromyscus boylii,Brush Mouse
Peromyscus californicus,California Mouse
Peromyscus crinitus,Canyon Mouse
Peromyscus eremicus,Cactus Mouse
Peromyscus fraterculus ,Baja Mouse
Peromyscus maniculatus,Deer Mouse
Peromyscus truei,Pinyon Mouse
Phenacomys intermedius,Heather Vole
Rattus norvegicus,Norway Rat
Rattus rattus,Black Rat
Reithrodontomys megalotis,Western Harvest Mouse
Reithrodontomys raviventris,Salt-marsh Harvest Mouse
Sigmodon arizonae,Arizona Cotton Rat
Sigmodon hispidus,Hispid Cotton Rat
Zapus princeps ,Western Jumping Mouse 
Zapus trinotatus ,Pacific Jumping Mouse 
Erethizon dorsatum ,North American Porcupine
Myocastor copyus,Nutria 
Canis familiaris,Feral Dog
Canis latrans,Coyote 
Canis lupus,Gray Wolf 
Urocyon cineoargentus,Gray Fox 
Vulpes macrotis,Kit Fox 
Vulpes vulpes,Red Fox
Bassariscus astutus,Ringtail 
Procyon lotor,Raccoon 
Gulo gulo,Wolverine
Lontra canadensis,Northern River Otter
Martes caurina,Marten 
Mustela erminea,Ermine 
Mustela frenata,Long-tailed Weasel 
Neovison vison,American Mink 
Pekania pennanti,Fisher 
Taxidea taxus,American Badger 
Mephitis mephitis,Striped Skunk 
Spilogale gracilis ,Western Spotted Skunk 
Ursus americanus,American Black Bear
Lynx rufus,Bobcat
Puma concolor,Mountain Lion
Cervus elaphus,Elk
Odocoileus hemionus,Mule Deer
